female,Gender,age,party_id_leaners,Republican,race,traditional_gender,vote_trump
1,Female,62,Democrat,0,white,4,0
1,Female,52,Democrat,0,white,4,0
0,Male,57,Democrat,0,white,4,0
1,Female,26,Democrat,0,white,4,0
1,Female,33,Democrat,0,white,4,0
1,Female,31,Democrat,0,white,4,0
0,Male,25,Democrat,0,white,4,0
0,Male,24,Democrat,0,other,4,0
0,Male,48,Democrat,0,white,4,0
1,Female,23,Democrat,0,white,4,0
1,Female,27,Democrat,0,white,4,0
1,Female,41,Democrat,0,white,4,1
0,Male,35,Democrat,0,white,4,0
1,Female,46,Democrat,0,white,4,0
1,Female,46,Democrat,0,white,4,0
0,Male,43,Democrat,0,hispanic,4,0
0,Male,51,Republican,1,white,4,1
1,Female,54,Republican,1,white,4,1
1,Female,50,Democrat,0,hispanic,4,0
0,Male,22,Republican,1,black,4,0
1,Female,48,Democrat,0,other,4,0
0,Male,37,Democrat,0,white,4,0
1,Female,37,Democrat,0,white,4,0
0,Male,74,Democrat,0,white,4,0
0,Male,30,Democrat,0,black,4,0
1,Female,47,Democrat,0,black,4,0
1,Female,68,Democrat,0,white,4,0
1,Female,62,Republican,1,white,4,1
1,Female,45,Republican,1,white,4,0
1,Female,20,Democrat,0,hispanic,4,0
0,Male,23,Democrat,0,white,4,0
1,Female,74,Democrat,0,white,4,0
1,Female,44,Democrat,0,black,4,0
0,Male,28,Democrat,0,other,4,0
1,Female,36,Democrat,0,white,4,0
1,Female,21,Democrat,0,hispanic,4,0
1,Female,57,Democrat,0,hispanic,4,0
0,Male,37,Democrat,0,white,4,0
0,Male,41,Republican,1,white,4,0
1,Female,40,Republican,1,white,5,0
1,Female,30,Democrat,0,white,5,0
0,Male,73,Democrat,0,white,5,0
0,Male,59,Republican,1,white,5,1
1,Female,52,Democrat,0,white,5,0
1,Female,36,Democrat,0,hispanic,5,0
1,Female,36,Democrat,0,white,5,0
1,Female,57,Republican,1,white,5,1
1,Female,59,Democrat,0,white,5,0
