country,year,emissions,kyoto_annexb,kyoto_adopted_year,continent,lifeExp,pop,gdpPercap
Afghanistan,1986,3140,0,0,NA,NA,NA,NA
Afghanistan,1987,3120,0,0,Asia,40.822,13867957,852.3959448
Afghanistan,1988,2870,0,0,NA,NA,NA,NA
Afghanistan,1989,2780,0,0,NA,NA,NA,NA
Afghanistan,1990,2610,0,0,NA,NA,NA,NA
Afghanistan,1991,2440,0,0,NA,NA,NA,NA
Afghanistan,1992,1390,0,0,Asia,41.674,16317921,649.3413952
Afghanistan,1993,1350,0,0,NA,NA,NA,NA
Afghanistan,1994,1290,0,0,NA,NA,NA,NA
Afghanistan,1995,1240,0,0,NA,NA,NA,NA
Afghanistan,1996,1180,0,0,NA,NA,NA,NA
Afghanistan,1997,1100,0,1,Asia,41.763,22227415,635.341351
Afghanistan,1998,1040,0,1,NA,NA,NA,NA
Afghanistan,1999,821,0,1,NA,NA,NA,NA
Afghanistan,2000,774,0,1,NA,NA,NA,NA
Afghanistan,2001,818,0,1,NA,NA,NA,NA
Afghanistan,2002,1070,0,1,Asia,42.129,25268405,726.7340548
Afghanistan,2003,1200,0,1,NA,NA,NA,NA
Afghanistan,2004,950,0,1,NA,NA,NA,NA
Afghanistan,2005,1330,0,1,NA,NA,NA,NA
Afghanistan,2006,1650,0,1,NA,NA,NA,NA
Afghanistan,2007,2270,0,1,Asia,43.828,31889923,974.5803384
Afghanistan,2008,4210,0,1,NA,NA,NA,NA
Afghanistan,2009,6770,0,1,NA,NA,NA,NA
Afghanistan,2010,8460,0,1,NA,NA,NA,NA
Afghanistan,2011,12200,0,1,NA,NA,NA,NA
Albania,1986,8060,0,0,NA,NA,NA,NA
Albania,1987,7440,0,0,Europe,72,3075321,3738.932735
Albania,1988,7330,0,0,NA,NA,NA,NA
Albania,1989,8980,0,0,NA,NA,NA,NA
Albania,1990,5520,0,0,NA,NA,NA,NA
Albania,1991,4290,0,0,NA,NA,NA,NA
Albania,1992,2520,0,0,Europe,71.581,3326498,2497.437901
Albania,1993,2340,0,0,NA,NA,NA,NA
Albania,1994,1930,0,0,NA,NA,NA,NA
Albania,1995,2090,0,0,NA,NA,NA,NA
Albania,1996,2020,0,0,NA,NA,NA,NA
Albania,1997,1540,0,1,Europe,72.95,3428038,3193.054604
Albania,1998,1750,0,1,NA,NA,NA,NA
Albania,1999,2980,0,1,NA,NA,NA,NA
Albania,2000,3020,0,1,NA,NA,NA,NA
Albania,2001,3220,0,1,NA,NA,NA,NA
Albania,2002,3750,0,1,Europe,75.651,3508512,4604.211737
Albania,2003,4290,0,1,NA,NA,NA,NA
Albania,2004,4170,0,1,NA,NA,NA,NA
Albania,2005,4250,0,1,NA,NA,NA,NA
Albania,2006,3900,0,1,NA,NA,NA,NA
Albania,2007,3930,0,1,Europe,76.423,3600523,5937.029526
Albania,2008,4370,0,1,NA,NA,NA,NA
Albania,2009,4380,0,1,NA,NA,NA,NA
Albania,2010,4600,0,1,NA,NA,NA,NA
Albania,2011,5240,0,1,NA,NA,NA,NA
Algeria,1986,76300,0,0,NA,NA,NA,NA
Algeria,1987,84100,0,0,Africa,65.799,23254956,5681.358539
Algeria,1988,83900,0,0,NA,NA,NA,NA
Algeria,1989,80000,0,0,NA,NA,NA,NA
Algeria,1990,77000,0,0,NA,NA,NA,NA
Algeria,1991,79000,0,0,NA,NA,NA,NA
Algeria,1992,80100,0,0,Africa,67.744,26298373,5023.216647
Algeria,1993,82200,0,0,NA,NA,NA,NA
Algeria,1994,86400,0,0,NA,NA,NA,NA
Algeria,1995,95300,0,0,NA,NA,NA,NA
Algeria,1996,97100,0,0,NA,NA,NA,NA
Algeria,1997,87300,0,1,Africa,69.152,29072015,4797.295051
Algeria,1998,107000,0,1,NA,NA,NA,NA
Algeria,1999,92000,0,1,NA,NA,NA,NA
Algeria,2000,87900,0,1,NA,NA,NA,NA
Algeria,2001,84200,0,1,NA,NA,NA,NA
Algeria,2002,89900,0,1,Africa,70.994,31287142,5288.040382
Algeria,2003,91600,0,1,NA,NA,NA,NA
Algeria,2004,88500,0,1,NA,NA,NA,NA
Algeria,2005,107000,0,1,NA,NA,NA,NA
Algeria,2006,101000,0,1,NA,NA,NA,NA
Algeria,2007,109000,0,1,Africa,72.301,33333216,6223.367465
Algeria,2008,110000,0,1,NA,NA,NA,NA
Algeria,2009,121000,0,1,NA,NA,NA,NA
Algeria,2010,119000,0,1,NA,NA,NA,NA
Algeria,2011,121000,0,1,NA,NA,NA,NA
Andorra,1986,NA,0,0,NA,NA,NA,NA
Andorra,1987,NA,0,0,NA,NA,NA,NA
Andorra,1988,NA,0,0,NA,NA,NA,NA
Andorra,1989,NA,0,0,NA,NA,NA,NA
Andorra,1990,407,0,0,NA,NA,NA,NA
Andorra,1991,407,0,0,NA,NA,NA,NA
Andorra,1992,407,0,0,NA,NA,NA,NA
Andorra,1993,411,0,0,NA,NA,NA,NA
Andorra,1994,407,0,0,NA,NA,NA,NA
Andorra,1995,425,0,0,NA,NA,NA,NA
Andorra,1996,455,0,0,NA,NA,NA,NA
Andorra,1997,466,0,1,NA,NA,NA,NA
Andorra,1998,491,0,1,NA,NA,NA,NA
Andorra,1999,513,0,1,NA,NA,NA,NA
Andorra,2000,524,0,1,NA,NA,NA,NA
Andorra,2001,524,0,1,NA,NA,NA,NA
Andorra,2002,532,0,1,NA,NA,NA,NA
Andorra,2003,535,0,1,NA,NA,NA,NA
Andorra,2004,561,0,1,NA,NA,NA,NA
Andorra,2005,576,0,1,NA,NA,NA,NA
Andorra,2006,546,0,1,NA,NA,NA,NA
Andorra,2007,539,0,1,NA,NA,NA,NA
Andorra,2008,539,0,1,NA,NA,NA,NA
Andorra,2009,517,0,1,NA,NA,NA,NA
Andorra,2010,517,0,1,NA,NA,NA,NA
Andorra,2011,491,0,1,NA,NA,NA,NA
Angola,1986,4660,0,0,NA,NA,NA,NA
Angola,1987,5820,0,0,Africa,39.906,7874230,2430.208311
Angola,1988,5130,0,0,NA,NA,NA,NA
